"","X","dvcat","weight","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","dead"
"1826",13222,2,461.210999999,1,1,0,1,77,2000,1995,0,1,0,0,"1"
"11108",13658,1,114.291999999,1,1,1,0,31,2000,1997,0,0,0,3,"1"
"2639",11452,1,10.9169999999,0,1,0,0,21,1999,1993,2,0,0,0,"1"
"3802",21947,1,109.005999999,1,1,1,1,38,2002,1996,1,1,1,5,"1"
"14664",8212,1,1570.02399999,0,1,1,0,20,1998,1967,2,1,0,2,"1"
"12975",14840,2,1195.36299999,0,1,1,1,20,2000,1987,2,1,0,1,"1"
"11499",24514,4,10.034,0,1,1,1,39,2002,1987,2,1,0,3,"1"
"7141",8871,1,688.504999995,1,1,1,1,21,1999,1999,0,1,0,2,"1"
"17818",10851,2,3073.984,1,1,1,0,33,1999,1992,1,1,1,2,"1"
"13299.1",3452,1,44.6689999998,1,1,1,1,43,1997,1994,1,1,1,2,"1"
"1076",17895,3,58.8899999997,0,1,0,0,43,2001,1987,2,1,0,3,"1"
"17698",9254,3,51.9359999998,0,0,1,0,31,1999,1989,2,0,0,2,"1"
"17583",22614,1,311.059999999,0,1,1,0,16,2002,1990,2,1,0,0,"1"
"17641",4679,1,329.586999998,0,0,0,1,16,1998,1987,2,0,0,1,"1"
"15228",20033,3,11.7829999999,0,1,1,1,31,2001,1986,2,1,0,2,"1"
"3990",21876,1,469.954999998,1,0,1,0,20,2002,1994,1,0,1,1,"1"
"11796",10391,2,71.7059999993,1,1,0,1,54,1999,1993,0,0,0,1,"1"
"16544",6601,2,74.9989999998,0,0,1,1,44,1998,1991,2,1,0,3,"1"
"783",21522,1,44.2519999999,1,1,1,0,25,2002,1997,0,1,0,3,"1"
"1277",5199,1,648.408,1,1,1,1,56,1998,1996,0,1,0,0,"1"
"14128",7675,1,65.4899999993,0,1,0,0,28,1998,1992,2,0,0,3,"1"
"3076",6135,2,1566.44399999,0,1,1,0,27,1998,1993,2,0,0,2,"1"
"1066",1277,1,4792.58499998,1,1,1,1,73,1997,1994,0,1,0,0,"1"
"3745",2555,3,66.9899999993,0,0,0,1,20,1997,1993,2,1,0,3,"1"
"695",14209,2,441.638999999,0,1,0,1,47,2000,1991,2,1,0,1,"1"
"7697",25450,1,331.123999998,0,1,1,0,17,2002,1989,2,1,0,0,"1"
"11850",10876,3,44.7379999999,1,1,1,0,76,1999,1993,1,1,1,3,"1"
"10599",24241,1,20081.6299999,1,1,0,1,26,2002,1996,0,1,0,0,"1"
"17954",22723,1,1779.71399999,0,1,0,1,18,2002,1991,2,1,0,0,"1"
"6152",18549,2,914.071999997,0,0,0,1,22,2001,1984,2,1,0,0,"1"
"9195",4697,1,678.077,1,1,1,0,54,1998,1992,1,1,1,0,"1"
"1061",2652,2,222.001999998,1,1,1,1,51,1997,1996,1,1,1,3,"1"
"14780",15375,3,49.6539999996,1,1,1,0,32,2000,1996,1,1,1,3,"1"
"10910",7734,1,515.069999993,0,1,0,0,42,1998,1992,2,1,0,1,"1"
"12588",3175,2,16.6789999998,0,1,1,0,17,1997,1988,2,1,0,3,"1"
"247",4283,3,26.3539999998,1,1,0,0,51,1998,1994,0,1,0,3,"1"
"2981",4180,1,348.628999997,0,1,1,1,19,1998,1988,2,1,0,0,"1"
"9146",13777,2,34.2049999996,1,1,1,1,52,2000,1998,1,1,1,3,"1"
"17512",197,1,1107.53999999,0,1,0,0,19,1997,1986,2,1,0,0,"1"
"8998",20373,1,194.397,1,1,1,1,64,2001,1996,0,1,0,0,"1"
"18157",20908,1,1090.25399999,0,1,0,1,17,2001,1991,2,1,0,0,"1"
"11639",11377,2,11.7379999999,0,1,1,1,67,1999,1990,2,1,0,3,"1"
"10026",16857,0,76.2439999999,0,1,1,1,33,2000,1996,2,1,0,0,"1"
"11475",5632,2,86.6239999998,0,1,0,0,65,1998,1995,2,0,0,3,"1"
"17505",303,1,46.2869999995,0,1,1,0,25,1997,1990,2,1,0,1,"1"
"9442",15917,1,43.9679999999,1,1,0,1,30,2000,1996,0,1,0,3,"1"
"6314",8681,2,27.7419999999,0,1,1,0,73,1999,1993,2,1,0,1,"1"
"9946",3114,1,1288.86499999,0,1,1,0,53,1997,1988,2,1,0,1,"1"
"17797",22457,2,38.9939999999,1,0,0,0,56,2002,1995,0,1,0,3,"1"
"7002",3729,2,19.6649999998,0,1,1,0,18,1997,1990,2,1,0,3,"1"
"14194",25714,3,1427.352,1,1,0,1,77,2002,2001,1,0,1,0,"1"
"15828",10535,1,54.5469999998,0,1,0,1,20,1999,1992,2,1,0,3,"1"
"10230",915,2,567.652999997,0,1,0,0,44,1997,1988,2,1,0,3,"1"
"4991",1722,2,331.261999998,0,0,1,0,17,1997,1984,2,0,0,3,"1"
"12114",8513,2,93.0609999998,1,1,1,0,57,1999,1997,1,0,1,1,"1"
"10189",4421,4,90.0909999991,0,0,1,1,54,1998,1984,2,1,0,3,"1"
"9657",25626,0,80.8769999994,0,1,1,1,57,2002,1975,2,1,0,5,"1"
"8365",20161,1,265.599999998,0,0,0,1,27,2001,1992,2,1,0,0,"1"
"5372",1725,2,87.1349999998,0,0,1,0,17,1997,1991,2,0,0,3,"1"
"12571",24459,1,256.169,0,1,1,1,34,2002,1994,2,0,0,0,"1"
"15797",25049,2,21.1399999999,1,0,1,0,42,2002,1995,1,1,1,3,"1"
"16940",22265,1,3128.579,1,1,1,0,41,2002,1996,1,1,1,1,"1"
"11451",18989,1,27.3879999998,1,1,0,1,27,2001,1999,0,0,0,1,"1"
"10854",26084,0,782.420999996,1,1,1,0,51,2002,1996,1,1,1,0,"1"
"7968",12917,1,26.3869999999,1,1,0,1,42,1999,1991,0,1,0,1,"1"
"11363",4691,1,29.8159999999,1,1,1,0,25,1998,1997,0,1,0,3,"1"
"1964",14115,1,376.256999999,0,0,1,1,68,2000,1989,2,1,0,0,"1"
"15595",15665,1,358.031999998,1,1,1,1,72,2000,1997,1,1,1,0,"1"
"4017",1295,2,250.660999998,1,1,0,0,54,1997,1995,1,1,1,1,"1"
"805",4471,1,0,1,1,1,1,23,1998,1998,1,1,1,0,"1"
"2648",15855,2,9.7849999999,1,0,1,1,16,2000,1998,1,1,1,0,"1"
"15151",450,2,311.245999999,1,0,0,0,50,1997,1994,1,1,1,3,"1"
"2119",8986,3,52.2989999996,1,0,1,0,21,1999,1996,1,1,1,3,"1"
"17436",8459,3,27.7989999999,1,0,1,0,69,1999,1997,1,1,1,3,"1"
"13374",8993,4,76.6779999994,1,1,1,0,51,1999,1993,1,1,1,3,"1"
"7817",12499,2,231.244999999,1,1,0,1,63,1999,1994,1,1,1,2,"1"
"571",23181,1,201.76,0,1,1,1,29,2002,1980,2,1,0,2,"1"
"2344",15977,2,23.1709999999,1,1,0,0,21,2000,1996,1,1,1,3,"1"
"14282",2231,1,41.4399999999,1,1,0,0,22,1997,1994,1,0,1,0,"1"
"18317",12505,1,10.7629999999,0,1,0,0,46,1999,1984,2,0,0,2,"1"
"10972",6568,3,52.4879999999,0,1,1,1,51,1998,1992,2,1,0,3,"1"
"16721",15627,1,243.771,0,0,1,1,27,2000,1991,2,0,0,3,"1"
"5595",13399,1,4114.48999995,1,1,1,0,38,2000,1995,1,1,1,0,"1"
"18280",12749,1,677.901999995,0,0,1,0,17,1999,1995,2,1,0,0,"1"
"354",23728,3,1607.27,1,1,1,1,26,2002,1997,1,1,1,1,"1"
"17765",901,1,2418.95599997,1,1,1,1,18,1997,1993,1,1,1,2,"1"
"12779",10179,2,19.409,1,1,1,0,40,1999,1991,1,1,1,1,"1"
"3477",12171,2,48.0219999999,0,0,1,0,40,1999,1989,2,1,0,3,"1"
"14338",2913,2,180.796999998,0,0,1,1,23,1997,1984,2,1,0,2,"1"
"12048",1020,3,51.3969999999,0,1,1,0,30,1997,1989,2,1,0,3,"1"
"16855",14557,2,81.6459999997,1,1,1,1,29,2000,1998,1,1,1,3,"1"
"8373",14767,2,211.327,0,0,1,1,36,2000,1978,2,0,0,3,"1"
"6576",10617,2,0,1,1,1,1,24,1999,1999,1,1,1,3,"1"
"17395",5811,1,83.0949999997,1,1,1,0,27,1998,1997,1,1,1,1,"1"
"14016",18616,2,26.8959999999,1,1,1,1,60,2001,1994,1,1,1,0,"1"
"15264",25254,1,9.026,0,0,0,1,33,2002,1984,2,1,0,2,"1"
"10870",23313,2,18.8259999999,1,1,0,0,24,2002,1992,0,1,0,0,"1"
"11281",5863,1,273.259999998,1,1,0,1,24,1998,1998,1,1,1,0,"1"
"17875",18803,4,72.176,1,1,1,1,19,2001,1995,1,0,1,3,"1"
"11664",25515,2,77.7929999996,0,1,0,0,24,2002,1986,2,1,0,3,"1"
"4215",3737,2,4.026,1,0,1,1,29,1997,1992,1,1,1,1,"1"
"531",25449,1,331.123999998,1,1,1,1,20,2002,2000,1,1,1,0,"1"
"1822",18166,2,43.423,1,1,1,1,23,2001,1996,1,1,1,2,"1"
"12749",16431,2,373.255999997,1,1,1,1,23,2000,2000,0,1,0,0,"1"
"8368",11532,2,14.115,1,0,0,1,35,1999,1997,1,1,1,3,"1"
"2900",14498,1,254.470999999,1,1,1,1,39,2000,1990,0,1,0,1,"1"
"15554",23995,2,53.3419999997,0,1,1,0,20,2002,1991,2,0,0,2,"1"
"2483",10457,3,51.8319999999,1,1,0,0,26,1999,1998,1,1,1,3,"1"
"7912",6502,2,15209.8609999,0,1,1,0,23,1998,1990,2,1,0,0,"1"
"6463",15837,1,1279.58499999,1,0,0,1,36,2000,1995,0,1,0,0,"1"
"10853",16783,4,355.594999999,0,0,1,0,17,2000,1986,2,0,0,3,"1"
"10781",23066,1,302.639999997,1,1,0,0,54,2002,1998,0,1,0,1,"1"
"15052",14633,3,86.2209999999,1,1,1,1,31,2000,1997,1,1,1,0,"1"
"12266",17115,0,1449.25899999,1,1,0,1,24,2000,1994,0,1,0,1,"1"
"16292",25779,2,110.972999999,1,1,0,0,65,2002,1996,0,0,0,3,"1"
"9727",23005,1,1020.71699999,0,1,0,1,23,2002,1991,2,1,0,0,"1"
"14727",12262,3,126.080999999,0,0,0,1,31,1999,1986,2,0,0,0,"1"
"15739",11116,1,294.757999998,1,1,1,0,77,1999,1996,1,1,1,2,"1"
"16880",5018,1,939.110999994,1,1,1,0,53,1998,1997,0,0,0,0,"1"
"8760",24477,2,10.034,1,0,1,1,34,2002,1995,1,1,1,3,"1"
"1043",8022,1,45.4649999999,1,1,1,1,44,1998,1993,1,1,1,2,"1"
"8730",13849,1,43.5999999996,0,1,1,0,35,2000,1986,2,0,0,3,"1"
"3585",9519,2,63.1079999995,1,1,1,0,75,1999,1993,1,1,1,3,"1"
"4789",6578,1,68.142,0,1,0,0,39,1998,1991,2,1,0,0,"1"
"6619",4199,1,918.779999994,1,1,1,0,40,1998,1993,1,1,1,1,"1"
"16166",152,1,128.237,0,1,1,1,17,1997,1988,2,1,0,0,"1"
"2352",19749,1,491.055999998,1,1,0,1,37,2001,2002,0,1,0,3,"1"
"11389",11894,1,190.902999999,1,1,0,0,62,1999,1998,1,0,1,0,"1"
"12755",2307,1,116.448,1,1,0,1,21,1997,1994,1,1,1,3,"1"
"5913",6168,2,67.4549999991,0,1,1,1,40,1998,1985,2,1,0,3,"1"
"17934",17707,1,186.527999999,1,0,0,0,48,2001,1998,0,1,0,1,"1"
"12811",10105,0,196.295999998,0,1,1,0,23,1999,1994,2,1,0,1,"1"
"15707",503,4,10.245,0,1,1,0,54,1997,1991,2,1,0,3,"1"
"1199",13421,1,567.438999996,0,0,1,0,54,2000,1994,2,1,0,1,"1"
"8068",864,1,34.9519999996,0,0,1,0,32,1997,1988,2,1,0,3,"1"
"14381",1959,1,33.4219999998,1,1,1,1,45,1997,1998,1,1,1,0,"1"
"14362",14462,1,584.656999998,1,1,1,1,34,2000,1995,1,1,1,0,"1"
"1634",3348,1,44.6689999998,1,1,0,1,30,1997,1996,0,1,0,0,"1"
"1512",13827,1,83.1109999996,0,1,1,1,23,2000,1988,2,1,0,0,"1"
"10670",25132,1,13.9909999999,0,0,1,1,67,2002,1995,2,1,0,1,"1"
"16992",19980,1,606.599999994,1,1,1,1,23,2001,1993,1,1,1,5,"1"
"12796",12784,1,4.491,0,0,1,0,34,1999,1982,2,1,0,3,"1"
"9759",15239,1,260.533,1,1,0,1,21,2000,1993,0,1,0,2,"1"
"16690",1736,2,87.1349999998,0,0,1,0,32,1997,1994,2,1,0,3,"1"
"3136",10607,1,51.8319999999,0,1,0,0,29,1999,1991,2,0,0,1,"1"
"2949",23692,2,263.612999998,1,1,0,0,42,2002,2001,1,1,1,1,"1"
"12777",22226,1,158.980999999,1,1,1,0,44,2002,1990,1,1,1,0,"1"
"14595",18481,1,622.305999994,1,1,1,0,51,2001,1998,0,1,0,0,"1"
"17537",15302,2,190.460999999,1,0,1,1,24,2000,1998,1,1,1,3,"1"
"948",5514,3,18.122,0,1,0,0,19,1998,1989,2,0,0,2,"1"
"15323",9604,4,99.2739999993,0,0,1,1,25,1999,1986,2,1,0,1,"1"
"14667",23415,1,13.3609999999,1,0,1,1,34,2002,2001,1,1,1,3,"1"
"6387",13533,1,394.788999997,1,1,1,0,26,2000,2000,0,0,0,0,"1"
"12253",22788,1,21.4149999998,1,0,1,1,38,2002,2002,0,1,0,3,"1"
"17099",25640,3,80.8769999994,0,1,1,1,44,2002,1994,2,1,0,1,"1"
"17710",3283,2,3639.19599998,0,1,1,1,17,1997,1989,2,1,0,0,"1"
"4003",23952,1,41.8479999998,1,1,1,0,87,2002,2001,1,1,1,2,"1"
"12489",21967,2,418.239999998,1,1,0,1,50,2002,1997,1,1,1,1,"1"
"14056",17637,3,114.948,1,1,1,0,78,2001,1994,1,1,1,2,"1"
"7176",11568,1,5.6459999999,1,1,1,1,52,1999,1998,0,1,0,0,"1"
"8262",16512,1,135.829,0,0,1,1,17,2000,1989,2,1,0,0,"1"
"454",14037,1,113.507999999,1,1,0,1,46,2000,1996,0,1,0,3,"1"
"8022",9635,2,228.339,1,1,0,0,29,1999,1995,1,0,1,1,"1"
"7506",21853,2,291.068999998,1,1,1,0,38,2002,2002,1,1,1,1,"1"
"16462",21407,2,5.187,0,1,0,0,49,2001,1990,2,1,0,3,"1"
"12862",17507,1,607.055999994,1,1,1,0,58,2001,1999,0,1,0,0,"1"
"16797",17141,1,509.820999999,1,1,1,0,23,2000,1995,1,1,1,2,"1"
"1743",1399,2,30.2899999998,1,0,0,1,55,1997,1993,1,1,1,3,"1"
"4021",1008,1,2818.69799998,1,1,0,0,33,1997,1997,1,0,1,2,"1"
"12608",910,2,38.3949999996,0,1,0,0,62,1997,1992,2,1,0,3,"1"
"3369",1740,1,4236.48399997,0,1,0,1,44,1997,1988,2,1,0,0,"1"
"4650",20447,1,419.125,1,1,0,1,43,2001,1996,0,1,0,2,"1"
"1480",10898,2,44.7379999999,0,0,1,1,19,1999,1987,2,1,0,1,"1"
"10062",22798,1,407.776999999,1,1,1,1,45,2002,1998,1,1,1,3,"1"
"9921",13132,1,12.9019999999,1,1,1,1,55,2000,1996,1,1,1,1,"1"
"14084",11484,0,78.3549999995,0,0,1,1,18,1999,1986,2,1,0,1,"1"
"13742",4031,1,725.399999999,1,1,0,0,42,1998,1995,0,1,0,0,"1"
"4401",5815,1,325.809999999,1,1,0,0,38,1998,1994,0,0,0,0,"1"
"1182",7698,1,40.0699999998,1,1,1,0,51,1998,1997,0,1,0,3,"1"
"6373",5732,1,351.745999999,1,1,1,0,50,1998,1996,1,1,1,1,"1"
"15637",15108,2,1181.61399999,0,1,1,1,51,2000,1985,2,1,0,1,"1"
"13616",19884,1,10.7609999999,1,1,1,1,37,2001,2000,1,1,1,3,"1"
"15455",22261,2,46.0999999996,1,1,0,0,21,2002,2001,0,0,0,2,"1"
"9130",14828,2,591.684999995,1,1,0,1,90,2000,1995,0,1,0,2,"1"
"10096",6551,4,62.1669999999,0,0,1,1,30,1998,1976,2,1,0,3,"1"
"16577",15833,2,11.75,1,1,1,0,25,2000,1994,1,1,1,2,"1"
"6403",25627,1,985.169,0,0,0,1,21,2002,1984,2,1,0,3,"1"
"11412",8498,2,106.120999999,0,0,1,0,30,1999,1994,2,0,0,1,"1"
"13533",23028,1,74.9739999995,1,1,1,0,24,2002,1992,1,1,1,3,"1"
"2672",14167,2,336.423999999,1,1,0,0,66,2000,1993,0,1,0,1,"1"
"9188",0,2,25.0689999999,0,1,1,0,26,1997,1990,2,1,0,3,"1"
"15448",12997,2,56.0149999997,1,1,1,1,45,2000,1997,0,1,0,1,"1"
"13260",11299,1,414.160999998,0,1,1,1,88,1999,1990,2,1,0,0,"1"
"4272",5175,1,642.343999997,0,1,1,0,42,1998,1986,2,0,0,0,"1"
"17420",23289,2,916.884999998,0,1,1,1,21,2002,1988,2,1,0,0,"1"
"14335",2096,3,41.2529999996,1,1,0,0,77,1997,1994,1,1,1,3,"1"
"17942",21762,3,14.602,1,1,1,0,18,2002,1997,1,0,1,3,"1"
"277",10293,1,25.713,1,1,1,0,45,1999,1995,1,1,1,0,"1"
"550",14550,2,86.2209999999,1,1,1,1,17,2000,1991,1,1,1,0,"1"
"8566",2692,1,1374.92299999,0,1,1,1,17,1997,1983,2,0,0,1,"1"
"5332",17868,1,597.650999993,1,1,0,1,31,2001,1998,0,0,0,0,"1"
"15848",11329,1,418.066999998,1,1,1,1,53,1999,1997,0,1,0,0,"1"
"6118",7528,2,32.6199999996,0,0,1,1,17,1998,1989,2,0,0,2,"1"
"14180",7503,1,15.8609999999,0,1,1,0,30,1998,1987,2,1,0,3,"1"
"4328",11373,2,10.2159999999,1,0,0,1,65,1999,1992,1,1,1,3,"1"
"13895",2242,1,311.900999997,1,1,0,0,42,1997,1996,0,1,0,1,"1"
"793",12154,2,150.707999999,1,1,1,1,54,1999,1998,0,1,0,1,"1"
"2265",20000,0,45.8739999998,0,1,1,0,24,2001,1988,2,0,0,3,"1"
"16360",20171,1,160.192,1,1,0,1,36,2001,1992,0,1,0,1,"1"
"1223",17655,1,713.694999993,0,1,1,1,38,2001,1988,2,1,0,1,"1"
"9629",1955,1,19.923,0,0,1,1,16,1997,1988,2,1,0,0,"1"
"16943",10330,1,3279.491,0,1,1,0,65,1999,1991,2,0,0,1,"1"
"13610",8288,3,5.355,0,1,1,0,47,1998,1978,2,1,0,2,"1"
"16321",21791,1,568.233999997,1,1,1,0,22,2002,1995,1,0,1,2,"1"
"5879",16055,1,254.919,1,1,1,0,19,2000,1996,1,0,1,0,"1"
"10739",13137,1,757.913999997,1,1,0,0,17,2000,1999,0,1,0,0,"1"
"16348",15031,2,564.678999998,1,1,0,0,16,2000,2000,0,0,0,0,"1"
"2965",9869,1,245.211999999,1,0,1,1,25,1999,1995,0,1,0,0,"1"
"10014",9184,1,66.4559999993,1,1,0,0,29,1999,1997,0,1,0,3,"1"
"17951",12068,2,92.7299999995,1,1,0,0,22,1999,1995,1,0,1,5,"1"
"1196",20963,1,251.596999999,0,0,1,0,32,2001,1980,2,1,0,0,"1"
"15313",8694,2,14.757,1,0,1,1,18,1999,1997,1,0,1,3,"1"
"14312",4916,2,24.906,1,1,1,0,67,1998,1993,1,1,1,3,"1"
"1462",21336,1,22.7089999998,1,1,1,1,33,2001,2000,0,1,0,1,"1"
"1409",22458,1,521.613999993,1,1,1,1,23,2002,2000,0,1,0,0,"1"
"4537",16271,1,23.0809999998,1,1,1,1,20,2000,1996,1,1,1,0,"1"
"2484",2484,1,547.316999994,0,0,1,1,45,1997,1984,2,0,0,0,"1"
"15601",2593,2,1411.875,0,0,0,0,48,1997,1990,2,1,0,3,"1"
"7095",22948,1,21.8579999998,0,1,1,1,64,2002,1984,2,1,0,0,"1"
"1032",19907,1,336.806999996,1,1,1,1,41,2001,2001,0,1,0,1,"1"
"1946",6803,2,284.625999998,0,1,1,0,18,1998,1988,2,0,0,3,"1"
"191",3728,1,4.026,1,1,1,1,16,1997,1997,0,0,0,3,"1"
"4826",11295,2,465.573999997,0,1,1,1,42,1999,1984,2,1,0,0,"1"
"8022.1",9635,2,228.339,1,1,0,0,29,1999,1995,1,0,1,1,"1"
"9222",1270,3,34.0529999998,1,0,1,1,43,1997,1996,1,1,1,3,"1"
"1500",16550,2,10.8309999999,1,0,1,1,26,2000,1999,1,0,1,3,"1"
"7890",13537,1,217.558999998,1,1,1,0,28,2000,2000,1,1,1,5,"1"
"11065",4018,2,109.181999999,0,1,0,1,46,1998,1986,2,1,0,5,"1"
"8488",1251,1,3495.25299999,0,1,0,0,40,1997,1986,2,0,0,0,"1"
"15932",667,2,219.489999998,1,1,1,1,18,1997,1996,0,0,0,2,"1"
"18293",18876,1,465.662999999,1,1,1,0,16,2001,1991,0,0,0,1,"1"
"510",24035,1,491.118999999,1,1,0,1,36,2002,2000,0,0,0,1,"1"
"5489",11264,1,129.886999998,1,1,0,0,28,1999,1997,0,1,0,1,"1"
"12044",13041,2,55.3779999996,1,1,1,1,43,2000,1999,1,1,1,1,"1"
"4654",5111,1,845.245999999,0,1,1,1,25,1998,1990,2,1,0,0,"1"
"6478",1806,2,265.938999999,1,1,1,1,32,1997,1992,1,1,1,2,"1"
"4793",10411,0,1698.25199999,0,1,0,1,52,1999,1993,2,1,0,0,"1"
"1236",25362,1,7.528,0,0,1,0,16,2002,1990,2,1,0,0,"1"
"1875",20552,1,355.562999997,1,1,0,1,21,2001,1997,1,1,1,1,"1"
"14312.1",4916,2,24.906,1,1,1,0,67,1998,1993,1,1,1,3,"1"
"7785",17667,1,669.615999997,0,1,1,0,38,2001,1990,2,1,0,3,"1"
"1611",15210,1,3276.39099997,1,1,0,0,66,2000,1996,0,1,0,0,"1"
"9848",18011,1,43.5629999996,1,1,1,0,18,2001,2001,0,1,0,3,"1"
"9102",9824,3,37.4549999996,0,0,1,1,19,1999,1990,2,1,0,2,"1"
"9246",24364,1,194.012999998,1,1,0,0,73,2002,1995,0,1,0,3,"1"
"12723",24969,1,20.9569999999,0,0,0,0,23,2002,1990,2,0,0,2,"1"
"14279",4349,2,1012.90499999,1,0,1,1,66,1998,1990,1,1,1,2,"1"
"3874",17033,1,108.808999999,0,1,0,1,67,2000,1988,2,1,0,0,"1"
"7512",13945,2,60.8149999999,1,1,1,1,37,2000,2000,1,1,1,2,"1"
"11728",9922,1,206.627999999,1,1,1,0,29,1999,1995,1,1,1,2,"1"
"6045",16472,1,12.4559999999,0,1,1,0,42,2000,1986,2,1,0,3,"1"
"4358",24178,1,171.058999999,1,0,1,0,42,2002,1999,0,1,0,0,"1"
"8280",9681,2,43.2199999997,0,0,1,1,18,1999,1985,2,1,0,3,"1"
"5288",10324,1,160.227,1,1,0,1,20,1999,1997,0,0,0,5,"1"
"3140",16797,2,51.5159999998,1,1,1,1,75,2000,1995,1,1,1,2,"1"
"5431",1030,2,384.748,0,1,0,0,28,1997,1988,2,1,0,0,"1"
"6343",4845,1,55.7539999997,1,1,1,1,21,1998,1996,1,1,1,0,"1"
"17249",10649,2,61.1119999997,0,1,1,0,52,1999,1979,2,0,0,3,"1"
"12232",19670,2,249.466999998,0,1,0,0,62,2001,1987,2,1,0,3,"1"
"4431",17313,1,10.3099999999,1,1,0,0,26,2000,1998,0,0,0,0,"1"
"5210",17996,2,29.6629999999,1,1,1,1,40,2001,1998,1,1,1,3,"1"
"10322",7705,1,489.131999999,1,0,1,0,29,1998,1997,1,0,1,1,"1"
"13541",18786,3,72.176,0,1,0,0,32,2001,1994,2,0,0,0,"1"
"18151",23283,1,18.8259999999,1,1,0,1,58,2002,2002,0,1,0,0,"1"
"5275",23120,2,85.6489999993,0,0,1,1,18,2002,1989,2,1,0,2,"1"
"425",17262,2,113.616,0,0,1,0,62,2000,1987,2,1,0,1,"1"
"67",4587,1,10.1919999999,0,0,1,1,20,1998,1992,2,0,0,1,"1"
"4470",14688,1,86.2209999999,1,1,0,0,46,2000,1996,0,1,0,2,"1"
"3441",6485,2,311.700999998,1,1,0,1,25,1998,1994,1,0,1,0,"1"
